t,x_3a,x_06,x_b1,x_7e,x_92,x_29,x_d4,x_4b,x_5c,x_f8
0,48.597036709641735,1.0,0.14030302683292672,24.97489520121484,0.0,6.686982044868527,0.0,0.0,0.9724483779352522,22.025124511798882
1,46.98978235667301,1.0,0.9572114193707487,25.65210101216734,0.0,0.0,0.0,0.0,0.9814023326324508,22.030627652900975
2,51.937353388941,1.0,2.345783352351296,24.948009836885856,0.0,1.1022451608891493,0.0,0.0,0.8676037481900378,22.053590633483932
3,50.08132602496445,1.0,2.877579661740342,24.53931196891525,0.0,0.0,0.0,0.0,1.0056934946199145,22.032875429703918
4,49.51831361271329,1.0,4.905106219764085,24.863596285245166,0.0,2.3724871976782453,0.0,0.0,0.9471251027218872,22.032396329983516
5,52.116082942720254,1.0,2.823574362206091,25.361198539548912,0.0,0.0,0.2792156418371663,0.0,0.9932629113601733,22.02890831458553
6,52.505848677966284,1.0,5.657254496562711,25.726836624418524,0.0,0.0,0.0,0.0,0.9441752951298743,22.007609505356164
7,51.343914756215746,1.0,7.355347231947404,25.594244635483605,0.0,0.0,0.0,0.0,1.073456451796626,22.022144372114546
8,49.199950013564376,1.0,6.068545455738968,24.797530880789243,0.0,0.0,0.3047332341597701,0.0,1.0222288140800229,22.01736180541219
9,49.61581083589552,1.0,9.408751851149015,25.061146466682008,0.0,6.079908130454842,0.0,0.0,1.0189312529001282,22.009516976428866
10,49.68777946204258,1.0,7.742248142620445,25.53807657967375,0.0,8.248434546001295,0.0,0.0,0.9926455531546862,21.997196334315955
11,48.74505451753815,1.0,9.998383196855379,25.084205938713627,0.0,0.0,0.33886280440315386,0.0,0.9652910073117229,22.001081973736557
12,45.57200551011654,1.0,11.370915078826588,25.271487456420605,0.0,4.229625744897457,0.0,0.0,1.0133177716617197,22.02127109077492
13,51.42399919409039,1.0,12.5616936213222,25.26593276016535,0.0,0.0,0.0,0.0,0.9901128660632442,22.042050840479757
14,52.3957346275671,1.0,11.091385475468071,24.84847682987087,0.0,0.9518295230923166,0.0,0.0,1.0168400665046655,22.047950169181927
15,49.43881891471158,1.0,12.31701886711287,24.797791747933804,0.0,0.058041278966825545,0.12082875439464852,0.0,0.9976456548269513,22.025762189962208
16,53.22833150384408,1.0,14.055158428121691,25.373800581469705,0.0,10.50255929427905,0.0,0.0,0.9818219418306319,22.011516641943246
17,53.44248953253985,1.0,15.246135079119487,24.620379095746696,0.0,0.0,0.10643086208198452,0.0,0.9604011218579522,22.014384226836256
18,48.32555828070438,1.0,16.50095794725468,24.890585159555016,0.0,0.0,0.08132683200464919,0.0,0.9853683489800127,21.99461890325924
19,49.627545171416074,1.0,16.150832913440805,24.982817361797792,0.0,8.413557072340975,0.0,0.0,1.040093669941966,21.999161228704278
20,50.16511257194369,1.0,15.73798463447708,25.11449138597125,0.0,0.0,0.0,0.0,0.991298615490224,21.99919098072434
21,51.854227934837226,1.0,21.945260878172135,25.664728052644865,0.0,0.01385595332885024,0.23127563109946855,0.0,0.988627374427176,21.99260101875578
22,49.726231944619215,1.0,20.21833791101365,25.103434407207047,0.0,0.0,0.0,0.0,1.0717321825966186,22.022052616996476
23,52.0061084898422,1.0,19.773056042117176,24.101025320528578,0.0,4.034920973468946,0.23103037430044823,0.0,0.9945168208007804,22.021181940070598
24,49.964169815777446,1.0,22.23478066271263,24.37160187753076,0.0,2.760372127819596,0.0,0.0,1.0082013860776848,22.01208446033977
25,51.00969414769632,1.0,22.303748285238875,24.720077800146772,0.0,0.0,0.0,0.0,1.0066370175787496,22.00649935075549
26,49.43192787117052,1.0,23.819994454443304,25.76151923568269,0.0,4.7231428570252945,0.422906087674729,0.0,0.9896711398764977,22.004383352507606
27,53.45540920610462,1.0,24.503300704436338,24.819452639658067,0.0,5.548309988058087,0.7521838093525297,0.0,1.0151043526493795,22.017319424002057
28,49.775210716377046,1.0,24.961582604624624,24.355480142851757,0.0,2.1532765235443034,0.45186201374787116,0.0,1.0391860257055037,22.016638608739537
29,51.16945013781961,1.0,28.420404137572163,24.44933192573768,0.0,0.0,0.0,0.0,1.004555523468157,22.03892855920559
30,51.837263878758705,1.0,26.888365762408423,24.462037984608763,0.0,0.23120313477479046,0.28677740602828294,0.0,0.9128699861662501,22.017108412944594
31,50.034778464549746,1.0,27.55076194677705,24.465924093880076,0.0,0.0,0.0,0.0,0.9711987406361025,22.040720201608767
32,51.64822282737274,1.0,28.968533566738714,25.68333545878242,0.0,5.785867288373701,0.017983577188452282,0.0,1.0883596166752922,22.047827088260124
33,44.98305581992066,1.0,31.08345450760244,25.28822356343371,0.0,0.0,0.0,0.0,1.0550049211196897,22.036416343534427
34,48.11575716794838,1.0,30.810715953415446,24.726181347283152,0.0,0.0,0.0,0.0,1.0276871877806775,22.044400450405945
35,52.613426096219804,1.0,32.70718660812719,25.304745588855454,0.0,0.0,0.0,0.0,1.0230682639752946,22.050485065736712
36,46.688255409786905,1.0,33.68048267548957,24.655984616162762,0.0,2.691345163546768,0.0,0.0,1.02919479425996,22.06147257289973
37,50.79498943773637,1.0,34.9337326305263,24.522454645135877,0.0,0.0,0.0,0.0,0.9535288180227554,22.066684692934754
38,52.659916198586345,1.0,36.64068716689226,25.252229870034498,0.0,4.432802066956239,0.37843664719563413,0.0,1.0708959743009223,22.042238560357536
39,54.20692057111691,1.0,35.77369557347784,24.38493649842555,0.0,7.261257643196996,0.0,0.0,1.0303394423958996,22.01489818180397
40,50.64055814903069,1.0,37.96595900849037,24.79885141376919,0.0,6.4352176070813,0.005583602488753547,0.0,1.0492386880124995,22.011767579918626
41,50.022108394111925,1.0,36.82559916092695,25.442028937233722,0.0,1.4368722646283438,0.03848365931692518,0.0,0.9931570369107064,21.979345220054885
42,47.766902358709736,1.0,38.94426980607649,24.319525434549178,0.0,3.02225239276837,0.0,0.0,0.9802672022879795,21.99291966585804
43,52.08059922289006,1.0,39.76278256460869,25.55102038717768,0.0,0.0,0.3227381708340447,0.0,1.080870837291173,22.004835701668615
44,48.89337682783086,1.0,39.584481637270144,24.519765824786017,0.0,0.0,0.0,0.0,0.9603443704908013,21.999602361640285
45,55.779397548630726,1.0,40.658961091447345,24.249829995216643,0.0,0.0,0.48059130698543817,0.0,0.9426865574628155,22.01026913080663
46,53.035710661630446,1.0,41.93882677165649,24.668754902136147,0.0,0.6182633581162498,0.028840000829420148,0.0,0.9694260450996764,22.01436968033544
47,51.692986295136535,1.0,44.53551299072075,24.621047952871557,0.0,1.7130027216695407,0.3814114751186218,0.0,0.9904468739148043,22.009849240511404
48,51.04082143537106,1.0,44.6814841496202,24.950705797197315,0.0,0.0,0.0,0.0,1.024603342461581,22.012492215725064
49,50.54381409097752,1.0,43.15756669825982,24.678699414441194,0.0,1.004353144992072,0.16590565398955132,0.0,0.980832230789935,22.006020455068306
50,50.10088978135081,1.0,45.34975222328405,25.401296773196204,0.0,3.067900968044974,0.3145881105024292,0.0,1.0403390831154462,22.01160670422867
51,53.57828986751057,1.0,46.733650108922724,24.131119152144436,0.0,0.0,0.0,0.0,1.0095038439873607,22.006518904228002
52,44.81292350656126,1.0,47.31904252520026,24.986838016942535,0.0,0.0,0.0,0.0,1.1103563802139955,21.98080532281783
53,48.9830548446283,1.0,48.76417835690772,25.195431492469613,0.0,0.0,0.0,0.0,0.9625715397349148,22.01028378643504
54,48.00220335502305,1.0,48.54002922761122,25.11920881202173,0.0,1.7224913237387272,0.006492812488238192,0.0,1.0364406745549735,22.017814318536157
55,50.017634062835896,1.0,51.18170007580731,24.93216997255265,0.0,0.0,0.0,0.0,0.9836521109707278,22.034324675562893
56,51.041834632795485,1.0,50.16046371485532,24.359579769535678,0.0,0.0,0.0,0.0,0.9752272272075232,22.067545766891108
57,51.36311563882042,1.0,52.99110516376413,24.966550448315573,0.0,0.0,0.2798480573414636,0.0,1.0851313928303288,22.08215333894509
58,49.20361302848515,1.0,51.32050495632366,25.128566450501356,0.0,2.301801667538304,0.0,0.0,1.0302610006145236,22.098707051300977
59,51.010644145657835,1.0,53.46522848326808,24.43861941037253,0.0,0.7357220950716782,0.440538510067849,0.0,0.9417092125162652,22.088831235043862
60,51.28686299269656,1.0,55.442224865064205,24.511481977630773,0.0,0.0,0.0,0.0,0.8825780107415725,22.097491074824607
61,49.217670213837415,1.0,56.508016516267894,24.631343037460088,0.0,0.973507639114422,0.15377160086861558,0.0,0.991237360814109,22.087952006090703
62,48.86386488931134,1.0,56.462275751809585,24.745796939662277,0.0,1.5626714838796685,0.4198002321863575,0.0,0.9881081858265045,22.06475232851822
63,49.64299193348491,1.0,56.24438742514184,24.49426352687071,0.0,0.0,0.03679489417624907,0.0,0.9644915873273822,22.076452417959313
64,50.640797285734294,1.0,58.19482727407128,24.972116232136205,0.0,1.8407007500935908,0.0,0.0,1.0361837060484003,22.08413082244315
65,49.372003509177844,1.0,58.53999744567265,24.124507845491465,0.0,2.5467383413309164,0.0,0.0,1.0446435214894525,22.06113671716614
66,51.2590730381943,1.0,59.65710292791798,25.23658178136582,0.0,0.0,0.0,0.0,1.0408079276582527,22.0472774453263
67,49.11289803852866,1.0,61.698583206591195,24.77221385721991,0.0,0.9678762466862718,0.0,0.0,1.0646229382142278,22.047687216180645
